invest_opinion,price_goal,reporter,titles,contents,dates
매수,"120,000",한국투자증권 오의림,종근당 A185750 -4Q22 Preview: 시간이 필요하다,"매출액과 영업이익 모두 컨센서스 하회 전망
- 2023년 신규 품목 출시, R&D는 아직",2023/01/13
Not Rated,,유안타증권 권명준,골프존 A215000 -시각 전환이 필요한 시점,"두가지의 시각 전환 필요
- 해외 진출 확대 진행 중",2023/01/13
Not Rated,,상상인증권 하태기,올릭스 A226950 -siRNA 플랫폼에서 기업가치 증가 중,"siRNA 플랫폼 기반 다양한 신약 Pipeline 임상 중
- GalNAc-siRNA플랫폼 기술이 의미 있게 진전 중이다",2023/01/13
매수,"45,000",신한투자증권 이동헌,"두산밥캣 A241560 -1조원 버는 회사, 변한건 환율 뿐","4Q22 Preview 환율 감안 시 무난한 실적
- 1조원 버는 회사",2023/01/13
매수,"45,000",신한투자증권 이동헌,두산밥캣 A241560 -2022 OP to reach KRW1tr with forex being the only variable,"4Q22 preview: Decent earnings considering forex effects
- 2022 full-year OP to pass the KRW1tr mark",2023/01/13
BUY,"13,000",메리츠증권 하누리,화승엔터프라이즈 A241590 -4Q22E Preview: 기저 효과,"4Q22E 매출액 4,043억원(+20%), 영업이익 199억원(+1,119%, OPM 5%)
- 수익성 눈높이 하향 조정 및 아디다스 가이던스 확인 후 매수 대응 추천",2023/01/13
Not Rated,,대신증권 이석영,코스메카코리아 A241710 -중국법인 효율화가 이끌 2023년 실적개선,"화장품 OEM/ODM 전문업체
- 중국법인 효율화와 미국법인 정상화가 이끌 2023년",2023/01/13
BUY,"100,000",NH투자증권 이화정,스튜디오드래곤 A253450 -아쉬울 실적에도 여전히 기대되는 이유,"2023: 다수의 기대작 + 중국 기대감
- 중국 동시방영 재개 시 가장 큰 수혜 기대",2023/01/13
BUY,"120,000",대신증권 김회재,스튜디오드래곤 A253450 -시즌제로 여는 23년,"4Q22 Preview: 외형은 성장, 수익성은 아쉬움
- 시즌제로 여는 23년. 제작 확대, 규모 증가, 마진 개선",2023/01/13
BUY,"120,000",대신증권 김회재,스튜디오드래곤 A253450 -Series renewals in focus in 2023,"4Q22 results to reflect top-line growth, disappointing profitability
- 2023 to see series renewals, bigger slate (& projects), improved margins",2023/01/13
HOLD,"170,000",유안타증권 이창영,크래프톤 A259960 -희망을 놓치다,"매출액 4,278억원(YoY -4%), 영업이익 571억원(YoY +33%), 컨센서스 하회 전망
- 1분기 예상되는 ‘TCP’의 DLC(DownLoadable Contents)를 통한 추가 매출, 1분기 중국 춘절 및 성수기 효과로 실적 개선 전망",2023/01/13
HOLD,"170,000",유안타증권 이창영,크래프톤 A259960 -TCP fails,"4Q22 preview
- 1Q23 and 1H23 forecast",2023/01/13
BUY,"43,000",키움증권 김소원,이녹스첨단소재 A272290 -4Q22 실적 저점 통과 전망,"4Q22 영업이익 91억원, 시장 기대치 하회 예상
- 2023년 영업이익 1,040억원(+4%YoY) 전망 12개월 Forward P/B 1.3배, 밸류에이션 매력 주목",2023/01/13
BUY,"260,000",다올투자증권 배송이,BGF리테일 A282330 -잘하고 있어요,"인센티브 지급으로 인해 4분기 실적은 예상보다 약하겠으나 우려할 필요는 없음
- 견고한 기존점과 점포 수 증가에 비롯해 매출 ㅅ성장은 예상보다 좋고 당분간 이러한 추세가 이어질 것으로 예상하기 대문",2023/01/13
,,한국IR협의회(리서치센터) 박선영,"피엔케이피부임상연구센타 A347740 -안전한 뷰티 제품, P&K 인증마크를 확인하면 됩니다","국내 피부임상 선도 기업
- 구조적으로 성장하는 피부 인체적용시험 시장",2023/01/13
BUY,"30,000",메리츠증권 양승수,대덕전자 A353200 -4Q22 Preview: 매력 발산 전 휴식 구간,"4Q22 Preview: 영업이익 505억원으로 컨센서스 16.5% 하회할 전망
- 피할 수 없는 업황 부진, 반등의 핵심은 FC-BGA와 DDR5",2023/01/13
매수,"55,000",한국투자증권 강경태,"DL이앤씨 A375500 -4Q22 Preview: 플랜트 확장, 재무 안정성 두가지. 끝.","영업이익 컨센서스 소폭 하회할 것
- 주택 공백기에 회사 외형을 지켜낼 플랜트 부문",2023/01/13
BUY,"83,000",삼성증권 이종욱,HPSP A403870 -훈풍이 불어온다,"오버행 리스크와 고객사 Capex cut이 그간 주가의 리스크 요소로 작용. 예상보다 많은 락업 해제 물량이 시장에 나올 경우, 단기 주가 변동성은 커질 수 있음.
- 다만, 메모리반도체 고객사 확대 가능성과 고압 산화막 장비로의 확대 방향성 등을 감안 시, 단기 주가 조정은 투자자들에 좋은 매수 기회로 다가올 수 있다고 생각.",2023/01/13
BUY,"83,000",삼성증권 이종욱,HPSP A403870 -Riding the tailwinds,"Riding the tailwinds
- Focus more on technology than on cyclical players",2023/01/13
,,밸류파인더 이충헌,스튜디오미르 A408900 -국내 최초 애니메이션 제작업체의 상장,"국내 중/소형 총괄제작 업체 中 가장 많은 작품 소화 가능한 애니메이션 제작업체
- 확고한 총괄제작 경쟁력 보유 -> 주요 글로벌 제작사로부터 러브콜 쇄도 中",2023/01/13
,,DB금융투자 신은정,스튜디오미르 A408900 -[투자의시대/IPO기업] 덕심 Forever !,"스튜디오미르 예상 시가총액 788억원 ~ 1,004억원
- 평균과 유사한 수준의 할인율 적용",2023/01/13
,,KB증권 한유건,스튜디오미르 A408900 -총괄 제작 기반 글로벌 애니메이션 플레이어,"스튜디오미르는 애니메이션 제작 전 과정에 참여하여 완성도 높은 작품 및 고단가 수주 / 장기계약이 가능
- 다수의 글로벌 고객사와 작품 레퍼런스를 보유 (넷플릭스, 디즈니, 워너브라더스, 드림웍스 등)",2023/01/13
BUY,"35,000",키움증권 박상준,하이트진로 A000080 -4Q22 Preview,"하이트진로의 4Q22 연결기준 매출액은 6,133억원(+13% YoY), 영업이익은 124억원(-63% YoY)으로 시장 컨센서스를 하회할 것으로 전망된다
- 동사는 최근 제로 소주 시장 내 경쟁강도 상승과 전반적인 마케팅 비용 증가 등으로 인해, 단기적으로 실적 개선 가시성이 높지 않은 상황이다. 따라서, 올해 1/9에 출시한 제로슈거 컨셉의 리뉴얼 ‘진로’ 제품이 소주 시장 내 점유율을 어느 정도 방어할 수 있는지가 관건이 될 것으로 판단된다",2023/01/16
BUY,"78,000",이베스트투자증권 강하나,유한양행 A000100 -4Q22 Preview: 진짜 모멘텀은 2023년부터,"4Q22 Preview: 본업은 컨센서스 하회
- 2023년 EGFR 시장과 레이저티닙도 좋지만 NASH도 기대된다",2023/01/16
HOLD,"105,000",이베스트투자증권 남대종,SK하이닉스 A000660 -물량 vs. 가격,"4Q22 실적 기대치 하회 전망
- 물량 vs. 가격",2023/01/16
BUY,"115,000",하이투자증권 송명섭,SK하이닉스 A000660 -최악의 업황. 그러나 지금은 저점 분할 매수 시기,"4Q22 동사 매출과 영업이익을 7.6조원 (QoQ -31%), -1.5조원 (적자 전환)으로 전망
- FY23 동사 영업적자 전망치를 7.5조원으로 상향하며 이에 따른 동사 FY23 BPS 하락을 반영하여 목표주가를 기존의 125,000원에서 115,000원으로 조정. 목표주가 산정을 위해 역사적 평균 P/B 1.35배 적용",2023/01/16
매수,"52,000",신한투자증권 김선미,"현대건설 A000720 -준비된 체력, 차별화될 실적","일회성 비용으로 4Q 실적은 부진하나, 2023년 이후는 견조
- 상대적으로 강할 주택. 개발사업은 risk가 아닌 Upside Potential",2023/01/16
BUY,"28,000",키움증권 박상준,대상 A001680 -4Q22 Preview,"대상의 4Q22 연결기준 매출액은 1.03조원(+14% YoY), 영업이익은 182억원(+5% YoY)으로 시장 컨센서스를 하회할 것으로 전망된다
- 동사의 주력 사업인 전분당과 식품 사업은 가격 인상 이후 원재료 단가가 안정화 되면서, 점차 과거의 수익성을 회복할 것으로 전망된다",2023/01/16
BUY,"50,000",메리츠증권 하누리,아모레G A002790 -4Q22E Preview: G is good,"4Q22E 영업이익 +2,779%
- 투자의견 Buy 및 적정주가 50,000원 제시",2023/01/16
BUY,"34,000",하나증권 박성봉,대한항공 A003490 -확연히 갈라진 여객과 화물의 분위기,"4분기 국제선 회복 vs. 화물 매출 감소
- 국제선 회복과 화물 매출 감소 추세 4분기에도 지속될 전망",2023/01/16
BUY,"280,000",다올투자증권 배송이,신세계 A004170 -백화점 둔화 시작,"4분기 매출액 22,224억원(YoY +15%), 영업이익 1,934억원(YoY -1%)으로 시장 기대치 하회 예상
- 백화점 한자릿수 성장률로 하락. 의류 판매 둔화로 인해 믹스 개선 제동",2023/01/16
BUY,"450,000",키움증권 박상준,농심 A004370 -4Q22 Preview,동사는 올해 음식료 업종 내에서 가장 높은 이익 증가율을 시현할 것으로 전망된다,2023/01/16
BUY,"230,000",키움증권 박상준,롯데칠성 A005300 -4Q22 Preview,"롯데칠성의 4Q22 연결기준 매출액은 6,676억원(+11% YoY), 영업이익은 247억원(+30% YoY)으로 시장 컨센서스를 소폭 하회할 것으로 전망된다
- 동사가 작년 9월에 출시한 소주 신제품 ‘새로’ 는 전은층을 중심으로 좋은 반응을 얻어내며, 월별 판매량이 꾸준히 증가하고 있다",2023/01/16
BUY,"220,000",하이투자증권 조희승,현대차 A005380 -4Q22 Preview: 과도한 우려를 이겨내는 실적,"4Q22 Preview: 매출액 38.2조, 영업이익 3.1조(OPM 8.1%)
- 2023년 매출액 148.8조원, 영업이익 9.7조원(OPM 6.5%)",2023/01/16
BUY,"110,000",키움증권 박상준,SPC삼립 A005610 -4Q22 Preview,"SPC삼립의 4Q22 연결기준 매출액은 9,255억원(+11% YoY), 영업이익은 281억원(+3% YoY)으로 시장 컨센서스를 하회할 것으로 전망된다
- 모회사의 매출 감소는 아직까지 동사에 큰 영향을 미치지 못하고 있으나, 안전 강화 관련 비용 등의 반영이 추가로 나타날 개연성은 있다",2023/01/16
BUY,"78,000",현대차증권 노근창,삼성전자 A005930 -감산 가능성은 주가에 반영중,"투자포인트 및 결론
- 주요 이슈 및 실적전망",2023/01/16
BUY,"35,000",하이투자증권 배세호,GS건설 A006360 -실적보다는 주택 경기 회복에 방점,"4Q22 영업이익 1,170억원(-39.3% YoY) 예상
- 2023년 영업이익 6,674억원(+19.2% YoY)",2023/01/16
TRADING BUY,"27,000",신한투자증권 김선미,GS건설 A006360 -낮아지지 않는 주택원가율이 아쉬워,"낮아지지 않는 주택원가율, 4Q22 및 2023년 실적 컨센서스 하회
- 신사업 성장성 확대. 단, 가시화 시점은 2023년 하반기 이후",2023/01/16
BUY,"830,000",한화투자증권 이용욱,삼성SDI A006400 -전기차 수요보다 일회성 비용으로 부진,"4분기 실적은 낮아진 컨센서스 소폭 하회 전망
- 2023년 영업이익 2.3조 원 전망",2023/01/16
BUY,"65,000",DS투자증권 안주원,한화솔루션 A009830 -태양광이 커진다,"신재생업체로 탈바꿈 중
- 23년 실적 기여도 태양광이 가장 클 전망",2023/01/16
BUY,"700,000",현대차증권 박현욱,"고려아연 A010130 -4분기, 기대 부합하는 실적 예상","22년 4분기 별도 영업이익 2,186억원, 연결 영업이익 1,907억원으로 예상되며 당사 추정치는 컨센서스 수준
- 향후 아연가격 상승, 연간 계약 T/C 인상 기대감이 유효하다고 판단",2023/01/16
BUY,"133,000",유진투자증권 황성현,"S-Oil A010950 -Oil-2022년 4분기가 실적, 주가 모두 바닥","목표주가 133,000원으로 하향, 투자의견 BUY 유지
- 4Q22 Preview: 매출액 9.8조원, 영업이익 73억원(영업이익률 0.1%)",2023/01/16
BUY,"2,200",DS투자증권 안주원,"신성이엔지 A011930 -든든한 클린환경, 고성장하는 태양광","클린환경: 반도체, 2차전지향 수주 증가
- 재생에너지: 부사호 프로젝트 + 폴리실리콘 가격 하락",2023/01/16
BUY,"100,000",다올투자증권 최광식,"한화에어로스페이스 A012450 -멀티플 낮추지만, 이익 상향 그만큼","4Q22 Preview. 대우조선해양 인수로 적정 PER을 10배로 낮추지만, 천무 5조원을 실적에 반영해 적정주가 10만원 유지
- 4Q22는 한화시스템이 부진함에도, 디펜스가 하드캐리",2023/01/16
Not Rated,,하이투자증권 이상헌,한화에어로스페이스 A012450 -시너지 효과 및 수주 증가 가시화,"한화 방산 합병 등으로 올해부터 통합방산 시너지 효과 창출되면서 수출 확대 될 듯
- 지난해에 이어 올해의 경우도 해외 신규수주 대폭적으로 증가되면서 향후 매출 성장성 본격화 될 듯",2023/01/16
BUY,"175,000",KB증권 김준섭,"삼성에스디에스 A018260 -Time to Focus on Cash Assets, Cloud","Maintain BUY but lower our target price to KRW175,000
- 4Q22 preview: OP to meet market consensus",2023/01/16
BUY,"175,000",KB증권 김준섭,삼성에스디에스 A018260 -현금 가치와 클라우드 사업에 기대볼 때,"목표주가 17.5만원으로 하향하나,  투자의견 Buy 유지
- 4Q22 영업이익은 컨센서스 부합 전망",2023/01/16
BUY,"33,000",NH투자증권 정지윤,신세계인터내셔날 A031430 -배턴 터치,"패션 가고 화장품 오고
- 4Q22 Preview - 패션 부문 기저 부담",2023/01/16
BUY,"115,000",키움증권 박상준,KT&G A033780 -4Q22 Preview,"KT&G의 4분기 연결기준 매출액은 1.36조원(+9% YoY), 영업이익은 2,647억원(-0% YoY)로 시장 컨센서스를 하회할 것으로 전망된다
- 최근 달러 약세에도 불구하고, 1) 국내 NGP 점유율 상승, 2) 수출담배 및 인삼공사 실적 회복 등에 힘입어, 23년 전사 영업이익은 전년 대비 소폭 증가할 것으로 전망된다",2023/01/16
HOLD,"14,400",삼성증권 장정훈,LG디스플레이 A034220 -Too early to expect demand growth in near term,"We cut our target price for LG Display by 7% to KRW14,400 but maintain HOLD.
- It is still too early to expect downstream demand to rebound in the near term.",2023/01/16
HOLD,"14,400",삼성증권 장정훈,LG디스플레이 A034220 -단기 수요 회복을 낙관하기 이르다,"목표주가 14,400원으로 7% 하향, HOLD 의견 유지
- 전방 수요 회복을 낙관하기 이른 시점",2023/01/16
BUY,"270,000",NH투자증권 안재민,NAVER A035420 -좋아질 일만 남음,"여러 우려에도 기대되는 사업 경쟁력
- 기대치를 소폭 하회하는 4분기 실적",2023/01/16
BUY,"520,000",대신증권 이지은,엔씨소프트 A036570 -신작 준비에 들어간 4분기,"투자의견 매수, 목표주가 520,000원 유지
- 4Q22: 모바일 게임의 매출 감소와 영업비용 증가에 따라 실적 부진 예상",2023/01/16
매수,"110,000",BNK투자증권 김인,키움증권 A039490 -플랫폼 지배력 유효한 가운데 PBR 0.5배로 업종 내 Premium도 소멸,"4Q22 Preview: 지배주주순이익 1,207억원 예상
- 시장지배력 지속에 따라 투자의견 BUY 및 목표주가 110,000원 유지",2023/01/16
Not Rated,,하이투자증권 이상헌,HD현대인프라코어 A042670 -방산엔진 및 인프라 투자확대 수혜,"방산엔진 수출 확대 본격화 될 듯
- 북미 뿐만 아니라 동남아, 중동, 라틴아메리카 등 자원보유국 중심으로 판매량 확대⇒ 중대형기종으로 제품믹스 개선 및 가격인상으로 실적 개선",2023/01/16
TRADING BUY,"5,500",신한투자증권 김선미,대우건설 A047040 -분양경기 민감도가 높을 실적 및 주가,"베트남 개발이익 반영되며 4Q22 컨센 상회. 그외 실적은 무난
- 분양경기에 민감한 공급구조. 2024년 이후 주택실적 축소 불가피",2023/01/16
Not Rated,,하이투자증권 이상헌,한국항공우주 A047810 -하늘이 넓은 만큼 수주도 무궁무진,"완제기 수출 수주 증가세 지속될 듯
- 올해부터 완제기 수출 및 기체부품 매출이 본격화 되면서 수익성 개선 가속화 될 듯",2023/01/16
BUY,"240,000",키움증권 박상준,동원F&B A049770 -4Q22 Preview,"동원F&B의 4Q22 연결기준 매출액은 1.02조원(+15% YoY), 영업이익은 251억원(+60% YoY)으로 시장 컨센서스를 상회할 것으로 전망된다
- 올해 동사는 작년의 부진했던 흐름에서 벗어나 전사 수익성이 전반적으로 개선될 수 있을 것으로 기대된다",2023/01/16
BUY,"54,000",키움증권 박상준,CJ프레시웨이 A051500 -4Q22 Preview,"CJ프레시웨이의 4Q22 연결기준 매출액은 7,603억원(+30% YoY), 영업이익은 238억원(+40% YoY)으로 시장 컨센서스를 하회할 것으로 전망된다
- 동사는 작년에 리오프닝에 따른 외식/급식 수요 회복, 저수익처 디마케팅과 전사 비용 절감 등을 통해, 전사 손익 구조가 미국 선두 업체(Sysco) 수준으로 크게 개선된 상황이다",2023/01/16
BUY,"50,000",대신증권 박혜진,신한지주 A055550 -최근 전향적 배당 정책의 리더,"투자의견 Buy, 목표주가 50,000원 유지
- 4Q22 지배주주 순이익 6,073억원(QoQ -61.9%, YoY +32.1%) 전망",2023/01/16
매수,"55,000",IBK투자증권 김은갑,신한지주 A055550 -주주친화정책 기대감 제고,"이미 사상 최고 실적 달성
- 은행 외 자회사 실적 개선 기대. 해외손익 빠르게 개선 중",2023/01/16
매수,"185,000",한국투자증권 박성홍,"리노공업 A058470 -4Q22 Preview: 4분기는 비수기, 다가올 미래는?","4분기 실적은 컨센서스 부합
- 부진했던 2022년 스마트폰 출하량이 올해의 +a",2023/01/16
BUY,"34,000",다올투자증권 최광식,"현대로템 A064350 -보수적으로 20% 두고, 그 이상을 바래보아","커버리지 개시, 관심의 4Q22 실적에 대한 대응 전략 제시
- 4Q22 실적은 폴란드 K2의 수익성이 확인되면서 미래 3년의 적정가치가 결정되는 중요한 이벤트",2023/01/16
Not Rated,,하이투자증권 이상헌,현대로템 A064350 -K2 전차 해외수주 대폭적으로 증가될 듯,지난해 K2 전차 폴란드 1 차 계약에 이어 올해 폴란드 2 차 계약 가시화로 해외수주 대폭적으로 증가 될 듯 ⇒ 향후 매출 성장성 및 수익성 개선 본격화 될 듯,2023/01/16
매수,"60,000",한국투자증권 김진우,SNT모티브 A064960 -4Q22 Preview: 따박따박,"4분기 영업이익 컨센서스 소폭 상회 전망
- 정상화되는 고객들의 생산 활동",2023/01/16
BUY,"240,000",유안타증권 하현수,"셀트리온 A068270 -4Q22 preview: earnings miss, development well underway","4Q22 preview: miss consensus
- Biobetter development: intravenous (IV) → subcutaneous (SC)→ per oral (PO)?",2023/01/16
BUY,"240,000",다올투자증권 이지수,셀트리온 A068270 -4Q22 Preview: 이번 실적도 문제 없다,"4Q22 연결 매출액 6,203억원(-0.3% YoY, -3.9% QoQ), 영업이익 2,039억원(-8.2% YoY, -4.6% QoQ)으로 추정
- Teva향 아조비(Ajovy)는 2023년 하반기에 생산될 전망",2023/01/16
BUY,"240,000",NH투자증권 박병국,셀트리온 A068270 -’23년에도 지속적인 성장이 보장된 기업,"램시마SC, 유플라이마가 다시 공급되기 시작한 4분기
- ’23년 실적 또한 성장 전망, 여전히 방어주로 매력적",2023/01/16
BUY,"240,000",유안타증권 하현수,"셀트리온 A068270 -4Q22Preview: 아쉬운 실적, 준비는 착착","4Q22 Preview: 컨센서스 하회
- 바이오 배터 개발: I.V→S.C→P.O?",2023/01/16
BUY,"190,000",키움증권 허혜민,대웅제약 A069620 -마케팅 및 R&D 비용 증가로 하회 전망,"4분기 비용 증가로 하회 전망
- 나보타 중국 진출과 펙수클루 기울기 폭의 관전 포인트",2023/01/16
매수,"90,000",한국투자증권 김명주,현대백화점 A069960 -4Q22 Preview: 4분기는 잠깐 쉬어 가자,"매출과 영업이익 모두 컨센서스를 하회할 전망
- 백화점의 부진보다 면세의 개선에 주목",2023/01/16
중립,"14,000",IBK투자증권 남성현,롯데하이마트 A071840 -기초체력 키우는 과정이 험난,"4분기 실적은 시장 기대치를 큰 폭으로 하회
- 강도높은 구조조정 효과는 기대. 다만, 구조적 성장 전략이 필요",2023/01/16
Not Rated,,하이투자증권 이상헌,LIG넥스원 A079550 -정밀유도무기 해외수주 본격화,"4 분기 실적 늘 그래왔듯이
- 지난해에 이어 올해의 경우도 천궁-II 등 정밀유도무기 해외 신규수주 대폭적으로 증가되면서 향후 매출 성장성 및 수익성 개선 본격화 될 듯",2023/01/16
STRONG BUY,"140,000",다올투자증권 최광식,"LIG넥스원 A079550 -2023년 주춤, 2024년에 다시 성장","4Q22 Preview. TMMR 사업 지연 등으로 2023년 실적 하향 조정
- 4Q22에 LAMD, 장공지의 대형 사업 체계개발 수주에 따라 충당금으로 부진할 것으로 추정 하향",2023/01/16
BUY,"53,000",대신증권 박혜진,"하나금융지주 A086790 -2023년, 수익성에 수렴할 주가","투자의견 Buy, 목표주가 53,000원, 업종 내 최선호주 유지
- 4Q22 지배주주 순이익 9,179억원(QoQ +36%, YoY +20.8%) 전망",2023/01/16
매수,"66,000",IBK투자증권 김은갑,"하나금융지주 A086790 -실적개선 지속, 주주친화정책 강화 기대","사상 최고 실적 가시화
- 핵심이익 증가, 낮은 대손비용률",2023/01/16
매수,"15,000",IBK투자증권 이건재,제이티 A089790 -사상 최대 실적 달성 전망,"4Q 호실적으로 22년 최대 실적 달성 전망
- DDR5 전환기 최대 수혜 달성 중",2023/01/16
BUY,"90,000",NH투자증권 박병국,셀트리온헬스케어 A091990 -램시마SC와 유플라이마를 중심으로 ’23년에도 성장 전망,"4분기 실적, 컨센서스 대비 소폭 하회 전망
- ’23년 성장은 유럽 램시마SC, 유럽-미국 유플라이마가 이끈다",2023/01/16
매수,"50,000",한국투자증권 박성홍,"ISC A095340 -DDR5는 거들 뿐, 사파이어 래피즈 직접 수혜 시작","부진한 업황으로 4분기는 실적 약세
- 인텔 서버 CPU향 매출 증가의 원년, 그리고 DDR5까지",2023/01/16
BUY,"500,000",키움증권 박상준,CJ제일제당 A097950 -4Q22 Preview,"CJ제일제당의 4Q22 연결기준 매출액은 7.90조원(+14% YoY), 영업이익은 3,011억원(+27% YoY)으로 시장 기대치를 하회할 것으로 전망된다
- 동사는 올해 국내 식품 부문의 원재료 투입단가 안정화에 따른 수혜가 기대되나, 사료용 아미노산과 셀렉타 업황 부진, 쿠팡 납품단가 협상 지연(국내 가공식품) 등으로 인해, 상반기 전사 영업이익은 전년동기 대비 감익이 불가피 할 것으로 전망된다",2023/01/16
Not Rated,,DS투자증권 안주원,"동국S&C A100130 -23년 신 공장 가동, 기대되는 성장","풍력발전 타워, 건설 및 철강 사업 영위
- 풍력 타워와 철강 부문 내년 실적 회복 기대",2023/01/16
BUY,"45,000",현대차증권 박현욱,"풍산 A103140 -4Q22, 견조한 실적 예상","22년 4분기 별도 영업이익 451억원, 연결 영업이익 502억원으로 예상되며 당사 추정치는 컨센서스 수준
- LME 구리가격 상승이 기대되고, 방산 부문은 올해도 견조한 실적이 지속될 것으로 예상",2023/01/16
BUY,"65,000",대신증권 박혜진,KB금융 A105560 -원래 배당은 KB였음,"투자의견 Buy, 목표주가 65,000원 유지
- 4Q22 지배주주 순이익 7,100억원(QoQ -44.2%, YoY +11.4%) 전망",2023/01/16
매수,"70,000",IBK투자증권 김은갑,"KB금융 A105560 -이익증가, 주주친화정책 강화 중","실적개선 이어지고, 업종 대표주의 주주친화정책 기대
- NIM 상승, 자산건전성 안정화",2023/01/16
BUY,"115,000",DS투자증권 안주원,씨에스윈드 A112610 -1등이 보여줄 저력,"글로벌 1등 풍력타워 업체
- 터빈 대형화에 따른 해상풍력 부각",2023/01/16
매수,"360,000",신한투자증권 이동건,한미약품 A128940 -4분기는 아쉽지만 달라진 건 없다,"4Q22 Pre: 북경한미 영업 제한 여파로 영업이익 예상치 하회 전망
- 2023년 북경한미 실적 호조 지속, R&D 성과도 주목할 필요",2023/01/16
BUY,"340,000",DB금융투자 이명선,한미약품 A128940 -중국 코로나 여파는 북경한미에도,"북경한미 부진으로 시장기대치 하회
- 상반기는 실적과 연구성과 기대감으로",2023/01/16
매수,"63,500",한국투자증권 박성홍,"티에스이 A131290 -4Q22 Preview: 실적은 겨울, 주가는 초봄","부진한 업황 속에 지나간 비수기
- 올해 기대되는 것 1) DRAM 프로브카드 2) DDR5 3) 소켓 신규 고객",2023/01/16
BUY,"122,000",대신증권 유정현,이마트 A139480 -2023년 적자 사업부 손익 개선 여부가 중요하다,"투자의견 BUY와 목표주가 122,000원 유지
- 4Q22 Preview: 4분기에도 일부 일회성 비용 발생한 것으로 추정",2023/01/16
BUY,"51,000",메리츠증권 하누리,한국콜마 A161890 -4Q22E Preview: 기저 부담,"4Q22E 매출액 4,655억원(+16%), 영업이익 230억원(-11%, OPM 5%)
- 사업 다각화 기반 구조적 성장 기대 유효",2023/01/16
BUY,"83,000",메리츠증권 하누리,코스맥스 A192820 -4Q22E Preview: 감익 불가피,"4Q22E 매출 감소 & 비용 증가
- 투자의견 Buy 및 적정주가 83,000원 제시",2023/01/16
Not Rated,,리딩투자증권 유성만,데브시스터즈 A194480 -올해는 ‘5 개의 신작 IP+α’로 대전환의 시기,"올해는 신작 IP 5 개 출시 예정
- 중국에서 불어오는 판호 발급 기대감",2023/01/16
HOLD,"50,000",삼성증권 임은영,해성디에스 A195870 -4Q review: Expanding capacity and waiting for better times,"4Q results miss estimates
- Connected world means growth in semiconductor market",2023/01/16
HOLD,"50,000",삼성증권 임은영,"해성디에스 A195870 -4Q22 Review: 대규모 증설, 잠시 쉬어가는 시기","전 부문의 실적 둔화로 4Q22 실적 기대치 하회. 자동차향 기판 매출도 -4.4%QoQ. 4Q22 실적 둔화를 반영하여, 2023년 및 2024년 실적 추정치 하향.
- 2023년 EPS 기준으로 기존 Target P/E 8배를 유지, 목표주가를 50,000원으로 23.1% 하향 조정. 투자의견 ‘HOLD’로 하향",2023/01/16
BUY,"68,000",대신증권 김회재,이노션 A214320 -월드컵과 그랜저,"투자의견 매수(Buy), 목표주가 68,000원 유지
- 4Q22 Preview: 월드컵과 그랜저",2023/01/16
매수,"98,000",신한투자증권 원재희,파마리서치 A214450 -Valuations at a trough,"4Q22 preview: Earnings to come in line with consensus
- 2023 outlook: Sales to expand by 19% YoY and OP by 24% YoY",2023/01/16
매수,"98,000",신한투자증권 원재희,파마리서치 A214450 -저평가 구간을 지나는 중,"4Q22 Pre: 컨센서스에 부합하는 실적 전망
- 2023년 매출액 및 영업이익 각각 +19%, +24% 성장 전망",2023/01/16
매수,"20,500",신한투자증권 이동건,제테마 A216080 -톡신 환경 변화 속 빛날 가치,"4Q22 Pre: 필러 판매 호조 지속, 다만 R&D 비용 증가 불가피
- 2023년은 필러 매출 성장 지속, 톡신 모멘텀 본격화 기대",2023/01/16
매수,"41,000",신한투자증권 박형우,심텍 A222800 -공급단가(P) 하락,"반도체기판 산업 현황 점검: Q 감소에 이은 P 하락
- 2023년: 2개월 전에 이어 또 한번 추정치 하향",2023/01/16
매수,"41,000",신한투자증권 박형우,심텍 A222800 -Falling substrate prices,"Substrate prices fall following declines in shipments
- 2023 earnings forecasts lowered again in 2 months",2023/01/16
BUY,"110,000",다올투자증권 이지수,에스티팜 A237690 -4Q22 Preview: 올리고로 확인할 방향성,"4Q22 연결 매출액 789억원(+52.7% YoY, +29.7% QoQ), 영업이익 77억원(흑전 YoY, 69.7% QoQ)으로 시장 컨센서스 상회 예상
- 상업화용 고지혈증 치료제 매출 증가와 4Q로 이월되었던 임상용 올리고생산 매출 정상화로 호실적 기대",2023/01/16
매수,"100,000",신한투자증권 장세훈,에스티팜 A237690 -그림은 유효,"4Q22 Pre: 상업화 물량 집중 공급으로 컨센서스 상회 전망
- 2023년은 실적 성장성으로 증설의 효과를 증명해야할 한 해",2023/01/16
BUY,"150,000",NH투자증권 주민우,"에코프로비엠 A247540 -판가↓, 전동공구↓ vs Ford↑, BMW↑","2023년 부정 요인들 존재하나, 긍정 요인들로 상쇄 가능
- 4Q22 preview: 견조한 성장과 일회성 비용",2023/01/16
매수,"157,500",신영증권 박진수,에코프로비엠 A247540 -EV 양극재는 문제 없음,"4분기 일회성 비용 불가피
- 23년 신규 라인 가동으로 양극재 출하량 성장 지속",2023/01/16
BUY,"100,000",흥국증권 황성진,스튜디오드래곤 A253450 -Mega IP 확대 효과와 글로벌 다변화,"23년 외형과 수익성의 동반성장 기대
- Mega IP 확대, 시즌제 효과, 공급 플랫폼 다변화",2023/01/16
